,name,price,supply,link
124," Плавкая вставка Н520Т 8А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",220,175 упак.,/product0/9000339458
125," Плавкая вставка Н520Т 10А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",250,617 упак.,/product0/9000339454
126," Плавкая вставка Н520Т 12А 250 В, 5×20 (10 шт.), Предохранитель замедленного ...",240,158 упак.,/product0/9000339455
127," ПН50, 5 А, 600 В, Предохранитель",54,993 шт.,/product/pn50-5a
128," ПЦ-30, 5 А, 250 В, Предохранитель",38,2169 шт.,/product/pc-30-5a
129," СВЧ предохранитель 0,6 А, 5 КВ, Предохранитель для СВЧ (без держателя)",170,1912 шт.,/product/svch-0.6-a-5-kv
130," СВЧ предохранитель 0,7 А, 5 КВ, Предохранитель для СВЧ (без держателя)",240,1673 шт.,/product/svch-0.7-a-5-kv
131," СВЧ предохранитель 0,75 А , 5 КВ, Предохранитель для СВЧ (без держателя)",50,1280 шт.,/product/svch-0.75-a-5-kv
132," 0216.100TXP, Cartridge Fuses 250V 100mA IEC HBC Fast Acting,шт",2 940,1 шт.,/product0/9001506066
133," 0251.250MAT1L, 250mA, 125V, Предохранитель выводной",220,9 шт.,/product/0251.250mat1l-250ma-125v
134, 0430700000,570,26 шт.,/product/0430700000-weidmuller
135," 0473007.YRT1L, 7A PlugIn Fuses ROHS",66,5 шт.,/product/0473007.yrt1l-7a-plugin-fuses-rohs
136," 179020.0,05; 0.05 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",160,441 шт.,/product/siba-179020-0.05
137," 179020.0,1; 0.1 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,9304 шт.,/product/siba-179020-0.1
138," 179020.0,25; 0.25 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",80,13865 шт.,/product/siba-179020-0.25
139," 179020.0,5; 0.5 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",88,17400 шт.,/product/siba-179020-0.5
140," 179020.0,63; 0.63 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,2211 шт.,/product/siba-179020-0.63
141," 179020.1,6; 1.6 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",80,3573 шт.,/product/siba-179020-1.6
142," 179020.1; 1 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,5841 шт.,/product/siba-179020-1
143," 179020.10; 10 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,6663 шт.,/product/siba-179020-10
144," 179020.2; 2 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,25643 шт.,/product/siba-179020-2
145," 179020.3,15; 3.15 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,12321 шт.,/product/siba-179020-3.15
146," 179020.4; 4 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,17288 шт.,/product/siba-179020-4
147," 179020.5; 5 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",90,8923 шт.,/product/siba-179020-5
148," 179020.6,3; 6.3 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",68,11603 шт.,/product/siba-179020-6.3
149," 179020.8; 8 А, 250 В, 5х20 мм, F, Предохранитель стеклянный быстродействующий",80,5488 шт.,/product/siba-179020-8
150," 179120.0,05, 0.05 А, 250В, 5х20 мм, Предохранитель стеклянный медленного срабатывания",93,4456 шт.,/product/h520-0.05
151," 179120.0,063, 0.063 А, 250В, 5х20 мм, Предохранитель стеклянный медленного ...",170,2338 шт.,/product/h520-0.063
152," 179120.0,08, 0.08 А, 250В, 5х20 мм, Предохранитель стеклянный медленного срабатывания",83,606 шт.,/product/h520-0.08
153," 189000.0,25; 0.25 А, 250 В, 6.3х32 мм, F, Предохранитель стеклянный быстродействующий",400,181 шт.,/product/siba-189000-0.25
