id,name,area_name,salary_from,salary_to,salary_gross,salary_currency,employer_name,knn_anomaly,iforest_anomaly,autoencoder_anomaly
112073126,UX/UI-дизайнер,Москва,100000.0,100000.0,False,RUR,МЕДИКУМ,0,0,0
112168396,Администратор сайта/Контент менеджер,Москва,70000.0,90000.0,False,RUR,Автохаус,0,0,0
111903222,Frontend-разработчик,Москва,120000.0,150000.0,False,RUR,ЛВ Софт,0,0,0
112207472,React Frontend-разработчик (на верстку креативных сайтов),Москва,80000.0,120000.0,False,RUR,Студия Oxem,0,0,0
110975501,Стажер-программист ASP.NET (C#),Москва,50000.0,150000.0,False,RUR,4А.Консалтинг,0,0,0
109825393,"Frontend разработчик (JavaScript/TypeScript, react)",Москва,130000.0,150000.0,False,RUR,A SWISS GROUP,0,0,0
111923460,Junior Python разработчик,Москва,45000.0,65000.0,False,RUR,Seven.Travel,0,0,0
110038797,Python-разработчик (Junior),Москва,150000.0,180000.0,False,RUR,Титов Дмитрий Владимирович,0,0,0
111960765,Проектный менеджер,Москва,150000.0,200000.0,False,RUR,AlfaBit,0,0,0
109819578,"Backend разработчик (Django, FastAPI, Python)",Москва,150000.0,170000.0,False,RUR,A SWISS GROUP,0,0,0
112179534,Младший юрист,Москва,60000.0,100000.0,True,RUR,Tevian (ООО Технологии видеоанализа),0,0,0
111853628,Специалист по ручному тестированию / Тестировщик QA,Москва,60000.0,80000.0,False,RUR,Карьерный компас,0,0,0
111985987,QA Engineer/Тестировщик,Москва,100000.0,140000.0,False,RUR,Восхождение,0,0,0
111986443,Тестировщик ПО,Москва,200000.0,250000.0,True,RUR,OONE WORLD,0,0,0
111870352,Менеджер по персоналу / HR менеджер,Москва,173000.0,173000.0,True,RUR,АГ-Логистик,0,0,0
112168851,Разработчик Delphi,Москва,300000.0,340000.0,True,RUR,LIAN,1,1,0
112149010,Bilingual teacher into a private school in Moscow,Москва,100000.0,120000.0,False,RUR,Автономная Некоммерческая Общеобразовательная организация Классный Проект,0,0,0
112001765,Разработчик C++,Москва,100000.0,105000.0,False,RUR,RedTeamCloud,0,0,0
112160452,.Net разработчик,Москва,180000.0,250000.0,False,RUR,АКСИС ПРО,0,0,0
110428437,Тестировщик специалист технической поддержки,Москва,50000.0,80000.0,False,RUR,Selsup,0,0,0
111274865,Junior Java-программист,Москва,60000.0,120000.0,False,RUR,Oxytocin,0,0,0
111348712,IOS Developer,Москва,150000.0,250000.0,False,RUR,Softintermob LLC,0,0,0
111181003,Специалист в офис,Москва,200000.0,250000.0,False,RUR,Самолет Плюс Мск Юг,0,0,0
111350374,Prompt-engineer,Москва,100000.0,300000.0,False,RUR,Нейросети,1,0,0
111792564,Middle Python Backend Developer,Москва,160000.0,220000.0,False,RUR,Vortex,0,0,0
110429201,Junior Java Developer,Москва,50000.0,70000.0,False,RUR,"Trend Soft, студия",0,0,0
111976047,Frontend-разработчик,Москва,250000.0,350000.0,True,RUR,Sapiens solutions,0,1,0
111974752,Junior web программист / интегратор (арбитраж трафика),Москва,40000.0,70000.0,False,RUR,Global NS,0,0,0
112077667,Специалист службы технической поддержки/2-ая линия и выше/ Help Desk,Москва,60000.0,90000.0,False,RUR,Теории от практиков,0,0,0
112093182,Python-разработчик — Middle,Москва,80000.0,150000.0,False,RUR,АРИГИН,0,0,0
109788485,Junior Java разработчик,Москва,60000.0,100000.0,False,RUR,Группа SRG,0,0,0
110876155,Начинающий Project Manager (IT),Москва,90000.0,125000.0,False,RUR,Альянс,0,0,0
109144502,Специалист контроля качества,Москва,30000.0,45000.0,False,RUR,Travelask.ru,0,0,1
110134917,Python/Django Junior Backend-разработчик,Москва,60000.0,90000.0,False,RUR,Placebo/25,0,0,0
