<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,211105,000000,9330.72,9398.43,9287.71,9359.87,19038547744
MOEXOG,D,211108,000000,9450.81,9505.55,9423.83,9500.64,25604452498
MOEXOG,D,211109,000000,9468.18,9488.04,9398.76,9407.95,21214832944
MOEXOG,D,211110,000000,9432.84,9476.89,9387,9460.38,20872897138
MOEXOG,D,211111,000000,9376.9,9561.36,9289.01,9558.56,40199770587
MOEXOG,D,211112,000000,9552.12,9599.83,9443.82,9528.72,99986863431
MOEXOG,D,211115,000000,9524.82,9596.81,9420.78,9506.25,59363306894
MOEXOG,D,211116,000000,9554.6,9572.26,9403.03,9524.6,50197262066
MOEXOG,D,211117,000000,9497.43,9556.67,9460.11,9548.53,44308163748
MOEXOG,D,211118,000000,9449.58,9502.09,9271.28,9298.68,52914788509
MOEXOG,D,211119,000000,9375.79,9397.79,9077.95,9085.88,65694071936
MOEXOG,D,211122,000000,9048.32,9116.17,8786.2,8880.91,83874717827
MOEXOG,D,211123,000000,8802.67,9068.36,8705.21,9031.47,81666111963
MOEXOG,D,211124,000000,9153.7,9176.13,8963.89,9123.5,56297284543
MOEXOG,D,211125,000000,9155.08,9192.65,8997.81,9018.8,31819239508
MOEXOG,D,211126,000000,8743.26,8841.62,8690.72,8692.08,62508317185
MOEXOG,D,211129,000000,8838.8,8950.15,8747.01,8842.03,56167262099
MOEXOG,D,211130,000000,8728.46,8889.82,8712.06,8789.66,74778643581
MOEXOG,D,211201,000000,8833.46,8983.38,8824.62,8978.63,50696049783
MOEXOG,D,211202,000000,8937.04,9086.38,8909.19,9058.61,50378919029
MOEXOG,D,211203,000000,9155.75,9159.52,8978.39,9007.14,32775973219
MOEXOG,D,211206,000000,9072.94,9076.91,8820.15,8893.7,38193840276
MOEXOG,D,211207,000000,8978.93,9114.81,8895.83,9091.01,45004929294
MOEXOG,D,211208,000000,9162.55,9162.55,8885.44,8885.44,49803385632
MOEXOG,D,211209,000000,8957.79,9025.78,8891.24,8959.04,34081500432
MOEXOG,D,211210,000000,8938.53,8976.69,8879.42,8887.84,23369789723
MOEXOG,D,211213,000000,8985.4,8990.81,8568.21,8590.95,56451071400
MOEXOG,D,211214,000000,8424.83,8652.83,8424.3,8618.12,60474368918
MOEXOG,D,211215,000000,8679.09,8858.26,8628.41,8718.65,44202386568
MOEXOG,D,211216,000000,8925.74,9008.7,8900.3,8985.49,49587140271
MOEXOG,D,211217,000000,8945.94,8969.16,8877.88,8941.91,46679356141
MOEXOG,D,211220,000000,8787.27,8887.15,8716.17,8863.44,37044262336
MOEXOG,D,211221,000000,8967.42,8982.5,8832.86,8917.97,33007088726
MOEXOG,D,211222,000000,8941.18,9096.49,8914.82,9076.5,39665808314
MOEXOG,D,211223,000000,9071.46,9083.24,8906.23,8939.64,31554902608
MOEXOG,D,211224,000000,8944.53,8945.97,8801.6,8910.19,16460951380
MOEXOG,D,211227,000000,8921.49,9025.96,8916.78,9025.96,16034863251
MOEXOG,D,211228,000000,9066.1,9179.1,9036.76,9125.12,22911058140
MOEXOG,D,211229,000000,9095.66,9138.32,9021.8,9087.21,22815551529
MOEXOG,D,211230,000000,9111.4,9187.24,9069.71,9159.5,22960829460
MOEXOG,D,220103,000000,9232.76,9330.25,9232.76,9307.03,19083894780
MOEXOG,D,220104,000000,9335.38,9419.5,9287.08,9417.79,23334881748
MOEXOG,D,220105,000000,9375.66,9411.14,9244.07,9270.18,24270854395
MOEXOG,D,220106,000000,9101.4,9202.94,9025.49,9174.89,33395549744
MOEXOG,D,220110,000000,9276.92,9350.31,9142.54,9197.3,30451043329
MOEXOG,D,220111,000000,9212.46,9325.99,9188.75,9275.31,24848917717
MOEXOG,D,220112,000000,9302.67,9472.52,9270.16,9413.9,34243137719
MOEXOG,D,220113,000000,9413.87,9427.74,9042.46,9068.27,60244866002
MOEXOG,D,220114,000000,9138.35,9216.52,8818.52,9060.46,67468401649
MOEXOG,D,220117,000000,9140.71,9193.35,8828.69,8925.09,50163289526
MOEXOG,D,220118,000000,8865.77,8894.55,8381.82,8422.75,105326390036
MOEXOG,D,220119,000000,8355.95,8867.92,8287.89,8693.15,92706806957
MOEXOG,D,220120,000000,8843.68,8870.24,8600.08,8768.36,57069178969
MOEXOG,D,220121,000000,8572.33,8739.47,8517.36,8648.97,55086785940
MOEXOG,D,220124,000000,8613.31,8613.31,7990.88,8193.35,97113960454
MOEXOG,D,220125,000000,8384.13,8394.44,8153.43,8250.19,54748872419
MOEXOG,D,220126,000000,8427.66,8541.22,8275.13,8419.24,57962152319
MOEXOG,D,220127,000000,8293.04,8888.85,8282.64,8729.83,93395391424
MOEXOG,D,220128,000000,8829.58,8896.86,8672.67,8836.36,52004385196
MOEXOG,D,220131,000000,8900.96,8978.34,8876.07,8876.07,36186146450
MOEXOG,D,220201,000000,8910.57,8965.5,8842.32,8866.17,32583728252
MOEXOG,D,220202,000000,8909.71,8937.02,8813.59,8880.79,28750895813
MOEXOG,D,220203,000000,8798.72,8857.7,8674.63,8758.97,30383514481
MOEXOG,D,220204,000000,8836.48,9024.92,8773.59,8812.51,54974346579
MOEXOG,D,220207,000000,8927.53,8947.7,8709.73,8810.77,28163853985
