<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,D,221201,000000,60.7525,61.495,60.715,61.3275,559674000
USD000000TOD,D,221202,000000,61.5,62,61.37,61.8875,871470000
USD000000TOD,D,221205,000000,61.9625,62.49,61.5525,62.46,654332000
USD000000TOD,D,221206,000000,62.25,63.34,62.25,62.8375,621903000
USD000000TOD,D,221207,000000,63.0825,63.35,62.7,62.85,658210000
USD000000TOD,D,221208,000000,62.8725,63.05,62.2625,62.5925,550965000
USD000000TOD,D,221209,000000,62.835,62.85,62.18,62.4725,914656000
USD000000TOD,D,221212,000000,62.475,63.0425,62.4025,62.8925,694255000
USD000000TOD,D,221213,000000,62.7025,63.315,62.7025,62.995,758015000
USD000000TOD,D,221214,000000,63,63.8325,63,63.7425,542895000
USD000000TOD,D,221215,000000,64.05,65,63.8325,64.2975,696940000
USD000000TOD,D,221216,000000,64.405,64.715,64.4,64.5875,570784000
USD000000TOD,D,221219,000000,64.975,68.4675,64.745,67.5,766532000
USD000000TOD,D,221220,000000,68.2575,69.78,67.0475,69.08,731677000
USD000000TOD,D,221221,000000,69.31,70.84,69.235,70.655,737707000
USD000000TOD,D,221222,000000,71.155,72.63,68.8275,69.8,708337000
USD000000TOD,D,221223,000000,68.7,70.3075,67.0875,68.7975,841542000
USD000000TOD,D,221227,000000,69.5,70.83,68.3,70.83,750576000
USD000000TOD,D,221228,000000,70.5525,72.0575,70.5525,71.9875,830624000
USD000000TOD,D,221229,000000,71.7175,72.8775,70.9,71.4025,1046511000
USD000000TOD,D,221230,000000,71.7975,72.4975,68.3,68.9975,1045818000
USD000000TOD,D,230109,000000,72,72.0925,69.33,69.8675,778987000
USD000000TOD,D,230110,000000,70.235,70.235,69.2225,69.94,751244000
USD000000TOD,D,230111,000000,70,70.4,68.26,68.67,519795000
USD000000TOD,D,230112,000000,68.8925,68.8925,67.4975,67.7025,567065000
USD000000TOD,D,230113,000000,67.705,68.8675,67.005,68.45,619486000
USD000000TOD,D,230117,000000,68.765,69.375,68.3175,69.0975,578298000
USD000000TOD,D,230118,000000,69.44,69.87,68.6775,68.9,593416000
USD000000TOD,D,230119,000000,69.2025,69.205,68.7,68.86,465600000
USD000000TOD,D,230120,000000,68.9025,68.9725,68.45,68.9625,570722000
USD000000TOD,D,230123,000000,68.6525,68.9975,68.4475,68.73,486783000
USD000000TOD,D,230124,000000,68.9025,69.075,68.6,68.9325,486437000
USD000000TOD,D,230125,000000,69,69.6725,68.58,69.2825,588157000
USD000000TOD,D,230126,000000,69.3025,69.715,68.7825,69.24,587204000
USD000000TOD,D,230127,000000,69.3125,69.75,69.1575,69.49,568379000
USD000000TOD,D,230130,000000,69.5075,70.22,69.325,70.03,627547000
USD000000TOD,D,230131,000000,70.42,70.7725,69.99,70.06,585365000
USD000000TOD,D,230201,000000,70.0175,70.45,69.93,70.19,528819000
USD000000TOD,D,230202,000000,69.885,70.3375,69.7825,70.3025,433141000
USD000000TOD,D,230203,000000,70.5025,70.7625,70.1875,70.59,441817000
USD000000TOD,D,230206,000000,70.7025,70.985,70.43,70.9375,539673000
USD000000TOD,D,230207,000000,71.0375,71.3625,70.715,71.2,637550000
USD000000TOD,D,230208,000000,71.1525,72.2675,70.91,72.2325,534527000
USD000000TOD,D,230209,000000,72.4025,73.405,72.4025,72.7775,585703000
USD000000TOD,D,230210,000000,73.1875,73.4825,72.5475,73.2175,379856000
USD000000TOD,D,230213,000000,73.26,73.88,73.2,73.805,388022000
USD000000TOD,D,230214,000000,73.945,73.9925,72.9375,73.6,510798000
USD000000TOD,D,230215,000000,73.7025,74.66,73.7025,74.445,394528000
